Site_Name,Site_Address_Line1,Site_Address_line2,Site_Address_line3,Site_Address_Line4,Site_City,Site_State,Site_PostCode,Site_country
Exxon Mobil  - BOGOTA,Carrera 7 # 99-53 Torre 2 Ofc 402,,,NULL,,,,Colombia
Network Cleveleys Victoria Roa-ST007323,52 Vict. Rd W,,NULL,NULL,THORNTON CLEVELEYS,NULL,FY5 1AQ,
Network Manchester St Annes Sq-ST007045,12 St Annes Sq,,NULL,NULL,MANCSTER,NULL,M2 7H,United Kingdom
180 West George St-ST008484,180 West George St,,NULL,NULL,,NULL,G2 2|NR,
Experian-ST010791,Newnham House  Northern Cross Bus Park Malahide Rd,,NULL,NULL,,NULL,DUBLIN 17,Ireland
Ford Motor Pvt Ltd- Banglore,"9th Floor Wing A, Mountain Ash H2 Block","Outr Rng Road, MS Ramaiah North City",Nagavara,Client/Offsite,Bangalore,KA,560045,IND
