S.NO,SiteName,Site_Address_1,Site_Address_2,Site_Address_3,City,State,PostCode
1,Hostway Ltd-ST001981,John Lang 2 Harbour Exchange Square Docklands London E14 9GE,,NULL,,NULL,
2,Infusion-ST013156,7th Floor  2 Harbour Exchange Square,,NULL,London,NULL,E14 9GE
3,Interfleet Technologies Ltd-ST002155,Suite 9.03 Exchange Tower 1 Harbour Exchange Square,,NULL,London,NULL,E14 9GE
4,Johnson Controls-ST002347,Pilgrims House Unit 3  Links Business Centre Old Woking Road  Surrey GU22 8BF,,NULL,,NULL,GU22 8BF
5,Keble House,Keble House  Southernhay Gardens. Exeter,,NULL,,NULL,EX1 1NT
6,NO.3 BRINDLEY PLACE-ST033509,c/o GVA GRIMLEY PMA321  PO BOX 8790,,NULL,Birmingham,NULL,B1 2JJ
7,Lethbridge-484 Wt Hill Blvd S,484 Wt Hill Blvd S, , ,Lethbridge,AB,T1J 4Z9
8,Osttra - Gurgaon,DLF Cyber City,Building Number -6, ,Gurgaon,HR,122002
